Ecol-ST-2010	Ecol-MDH-219	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-2011	Ecol-MDH-70	Ecol-GYRB-87	Ecol-RECA-2	Ecol-ICD-96	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-92
Ecol-ST-2012	Ecol-MDH-9	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-69	Ecol-ADK-6
Ecol-ST-2013	Ecol-MDH-17	Ecol-GYRB-9	Ecol-RECA-25	Ecol-ICD-275	Ecol-PURA-11	Ecol-FUMC-24	Ecol-ADK-36
Ecol-ST-2014	Ecol-MDH-11	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-95	Ecol-ADK-246
Ecol-ST-2015	Ecol-MDH-17	Ecol-GYRB-30	Ecol-RECA-96	Ecol-ICD-37	Ecol-PURA-10	Ecol-FUMC-319	Ecol-ADK-76
Ecol-ST-2016	Ecol-MDH-9	Ecol-GYRB-32	Ecol-RECA-7	Ecol-ICD-88	Ecol-PURA-26	Ecol-FUMC-23	Ecol-ADK-6
Ecol-ST-2017	Ecol-MDH-17	Ecol-GYRB-10	Ecol-RECA-25	Ecol-ICD-119	Ecol-PURA-25	Ecol-FUMC-96	Ecol-ADK-13
Ecol-ST-2020	Ecol-MDH-220	Ecol-GYRB-27	Ecol-RECA-4	Ecol-ICD-6	Ecol-PURA-5	Ecol-FUMC-35	Ecol-ADK-21
Ecol-ST-2021	Ecol-MDH-17	Ecol-GYRB-19	Ecol-RECA-26	Ecol-ICD-37	Ecol-PURA-11	Ecol-FUMC-38	Ecol-ADK-250
Ecol-ST-2022	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-312	Ecol-ADK-10
Ecol-ST-2023	Ecol-MDH-16	Ecol-GYRB-9	Ecol-RECA-193	Ecol-ICD-13	Ecol-PURA-10	Ecol-FUMC-13	Ecol-ADK-13
Ecol-ST-2024	Ecol-MDH-221	Ecol-GYRB-13	Ecol-RECA-66	Ecol-ICD-100	Ecol-PURA-28	Ecol-FUMC-40	Ecol-ADK-96
Ecol-ST-2025	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-14	Ecol-ICD-16	Ecol-PURA-11	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2026	Ecol-MDH-9	Ecol-GYRB-225	Ecol-RECA-20	Ecol-ICD-247	Ecol-PURA-1	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2027	Ecol-MDH-17	Ecol-GYRB-84	Ecol-RECA-2	Ecol-ICD-43	Ecol-PURA-68	Ecol-FUMC-38	Ecol-ADK-13
Ecol-ST-2028	Ecol-MDH-9	Ecol-GYRB-3	Ecol-RECA-2	Ecol-ICD-274	Ecol-PURA-209	Ecol-FUMC-95	Ecol-ADK-6
Ecol-ST-2029	Ecol-MDH-218	Ecol-GYRB-9	Ecol-RECA-9	Ecol-ICD-13	Ecol-PURA-10	Ecol-FUMC-13	Ecol-ADK-13
Ecol-ST-2030	Ecol-MDH-22	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2031	Ecol-MDH-37	Ecol-GYRB-13	Ecol-RECA-25	Ecol-ICD-50	Ecol-PURA-16	Ecol-FUMC-320	Ecol-ADK-13
Ecol-ST-2032	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-318	Ecol-ADK-10
Ecol-ST-2033	Ecol-MDH-9	Ecol-GYRB-15	Ecol-RECA-14	Ecol-ICD-10	Ecol-PURA-7	Ecol-FUMC-6	Ecol-ADK-6
Ecol-ST-2034	Ecol-MDH-11	Ecol-GYRB-5	Ecol-RECA-7	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2035	Ecol-MDH-9	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-225	Ecol-PURA-23	Ecol-FUMC-8	Ecol-ADK-6
Ecol-ST-2036	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-249	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-2037	Ecol-MDH-59	Ecol-GYRB-78	Ecol-RECA-62	Ecol-ICD-37	Ecol-PURA-58	Ecol-FUMC-88	Ecol-ADK-85
Ecol-ST-2040	Ecol-MDH-11	Ecol-GYRB-22	Ecol-RECA-41	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-29	Ecol-ADK-6
Ecol-ST-2041	Ecol-MDH-8	Ecol-GYRB-1	Ecol-RECA-6	Ecol-ICD-278	Ecol-PURA-18	Ecol-FUMC-7	Ecol-ADK-8
Ecol-ST-2042	Ecol-MDH-36	Ecol-GYRB-47	Ecol-RECA-29	Ecol-ICD-13	Ecol-PURA-58	Ecol-FUMC-40	Ecol-ADK-53
Ecol-ST-2043	Ecol-MDH-70	Ecol-GYRB-87	Ecol-RECA-2	Ecol-ICD-96	Ecol-PURA-28	Ecol-FUMC-4	Ecol-ADK-92
Ecol-ST-2044	Ecol-MDH-5	Ecol-GYRB-17	Ecol-RECA-10	Ecol-ICD-137	Ecol-PURA-7	Ecol-FUMC-106	Ecol-ADK-18
Ecol-ST-2045	Ecol-MDH-8	Ecol-GYRB-57	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-111
Ecol-ST-2046	Ecol-MDH-8	Ecol-GYRB-188	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-18	Ecol-FUMC-7	Ecol-ADK-214
Ecol-ST-2047	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-98	Ecol-ICD-26	Ecol-PURA-13	Ecol-FUMC-6	Ecol-ADK-179
Ecol-ST-2048	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-6	Ecol-ADK-179
Ecol-ST-2049	Ecol-MDH-55	Ecol-GYRB-186	Ecol-RECA-42	Ecol-ICD-24	Ecol-PURA-1	Ecol-FUMC-23	Ecol-ADK-8
Ecol-ST-2050	Ecol-MDH-12	Ecol-GYRB-199	Ecol-RECA-2	Ecol-ICD-12	Ecol-PURA-2	Ecol-FUMC-196	Ecol-ADK-123
Ecol-ST-2051	Ecol-MDH-7	Ecol-GYRB-15	Ecol-RECA-6	Ecol-ICD-85	Ecol-PURA-18	Ecol-FUMC-6	Ecol-ADK-56
Ecol-ST-2052	Ecol-MDH-11	Ecol-GYRB-3	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-62	Ecol-FUMC-29	Ecol-ADK-56
Ecol-ST-2053	Ecol-MDH-67	Ecol-GYRB-39	Ecol-RECA-4	Ecol-ICD-87	Ecol-PURA-138	Ecol-FUMC-140	Ecol-ADK-34
Ecol-ST-2054	Ecol-MDH-11	Ecol-GYRB-33	Ecol-RECA-6	Ecol-ICD-26	Ecol-PURA-8	Ecol-FUMC-19	Ecol-ADK-179
Ecol-ST-2055	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-26	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-2056	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-126	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-29	Ecol-ADK-123
Ecol-ST-2057	Ecol-MDH-11	Ecol-GYRB-3	Ecol-RECA-14	Ecol-ICD-18	Ecol-PURA-7	Ecol-FUMC-95	Ecol-ADK-123
Ecol-ST-2058	Ecol-MDH-20	Ecol-GYRB-14	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-62	Ecol-FUMC-4	Ecol-ADK-179
Ecol-ST-2059	Ecol-MDH-24	Ecol-GYRB-5	Ecol-RECA-6	Ecol-ICD-26	Ecol-PURA-8	Ecol-FUMC-29	Ecol-ADK-123
Ecol-ST-2060	Ecol-MDH-11	Ecol-GYRB-3	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-62	Ecol-FUMC-29	Ecol-ADK-179
Ecol-ST-2061	Ecol-MDH-12	Ecol-GYRB-214	Ecol-RECA-2	Ecol-ICD-12	Ecol-PURA-178	Ecol-FUMC-23	Ecol-ADK-179
Ecol-ST-2062	Ecol-MDH-9	Ecol-GYRB-158	Ecol-RECA-7	Ecol-ICD-280	Ecol-PURA-8	Ecol-FUMC-69	Ecol-ADK-6
Ecol-ST-2063	Ecol-MDH-9	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-18	Ecol-PURA-26	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2064	Ecol-MDH-1	Ecol-GYRB-260	Ecol-RECA-2	Ecol-ICD-254	Ecol-PURA-2	Ecol-FUMC-297	Ecol-ADK-207
Ecol-ST-2065	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-205	Ecol-PURA-8	Ecol-FUMC-225	Ecol-ADK-10
Ecol-ST-2066	Ecol-MDH-222	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-12	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2067	Ecol-MDH-11	Ecol-GYRB-3	Ecol-RECA-2	Ecol-ICD-18	Ecol-PURA-122	Ecol-FUMC-95	Ecol-ADK-6
Ecol-ST-2068	Ecol-MDH-16	Ecol-GYRB-50	Ecol-RECA-25	Ecol-ICD-13	Ecol-PURA-212	Ecol-FUMC-39	Ecol-ADK-13
Ecol-ST-2069	Ecol-MDH-15	Ecol-GYRB-42	Ecol-RECA-17	Ecol-ICD-44	Ecol-PURA-213	Ecol-FUMC-4	Ecol-ADK-31
Ecol-ST-2070	Ecol-MDH-7	Ecol-GYRB-167	Ecol-RECA-62	Ecol-ICD-198	Ecol-PURA-214	Ecol-FUMC-37	Ecol-ADK-251
Ecol-ST-2071	Ecol-MDH-7	Ecol-GYRB-4	Ecol-RECA-62	Ecol-ICD-198	Ecol-PURA-214	Ecol-FUMC-37	Ecol-ADK-251
Ecol-ST-2072	Ecol-MDH-11	Ecol-GYRB-5	Ecol-RECA-7	Ecol-ICD-18	Ecol-PURA-193	Ecol-FUMC-29	Ecol-ADK-6
Ecol-ST-2073	Ecol-MDH-11	Ecol-GYRB-3	Ecol-RECA-156	Ecol-ICD-18	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2074	Ecol-MDH-80	Ecol-GYRB-176	Ecol-RECA-2	Ecol-ICD-30	Ecol-PURA-2	Ecol-FUMC-321	Ecol-ADK-12
Ecol-ST-2076	Ecol-MDH-5	Ecol-GYRB-61	Ecol-RECA-4	Ecol-ICD-52	Ecol-PURA-77	Ecol-FUMC-35	Ecol-ADK-21
Ecol-ST-2077	Ecol-MDH-20	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-9	Ecol-PURA-1	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2078	Ecol-MDH-8	Ecol-GYRB-224	Ecol-RECA-6	Ecol-ICD-279	Ecol-PURA-1	Ecol-FUMC-196	Ecol-ADK-64
Ecol-ST-2079	Ecol-MDH-11	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-18	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2081	Ecol-MDH-9	Ecol-GYRB-33	Ecol-RECA-6	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-95	Ecol-ADK-6
Ecol-ST-2083	Ecol-MDH-11	Ecol-GYRB-5	Ecol-RECA-7	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-322	Ecol-ADK-6
Ecol-ST-2084	Ecol-MDH-23	Ecol-GYRB-19	Ecol-RECA-10	Ecol-ICD-36	Ecol-PURA-28	Ecol-FUMC-40	Ecol-ADK-13
Ecol-ST-2085	Ecol-MDH-5	Ecol-GYRB-41	Ecol-RECA-2	Ecol-ICD-43	Ecol-PURA-32	Ecol-FUMC-323	Ecol-ADK-20
Ecol-ST-2086	Ecol-MDH-91	Ecol-GYRB-13	Ecol-RECA-25	Ecol-ICD-150	Ecol-PURA-198	Ecol-FUMC-15	Ecol-ADK-129
Ecol-ST-2087	Ecol-MDH-111	Ecol-GYRB-85	Ecol-RECA-76	Ecol-ICD-169	Ecol-PURA-69	Ecol-FUMC-324	Ecol-ADK-94
Ecol-ST-2088	Ecol-MDH-17	Ecol-GYRB-10	Ecol-RECA-25	Ecol-ICD-20	Ecol-PURA-37	Ecol-FUMC-43	Ecol-ADK-13
Ecol-ST-2089	Ecol-MDH-7	Ecol-GYRB-261	Ecol-RECA-6	Ecol-ICD-91	Ecol-PURA-78	Ecol-FUMC-153	Ecol-ADK-6
Ecol-ST-2091	Ecol-MDH-20	Ecol-GYRB-69	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-46	Ecol-ADK-1
Ecol-ST-2092	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2093	Ecol-MDH-9	Ecol-GYRB-3	Ecol-RECA-12	Ecol-ICD-18	Ecol-PURA-7	Ecol-FUMC-19	Ecol-ADK-6
Ecol-ST-2094	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-6	Ecol-ICD-16	Ecol-PURA-12	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2095	Ecol-MDH-11	Ecol-GYRB-5	Ecol-RECA-7	Ecol-ICD-136	Ecol-PURA-34	Ecol-FUMC-6	Ecol-ADK-6
Ecol-ST-2096	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-95	Ecol-ADK-6
Ecol-ST-2097	Ecol-MDH-9	Ecol-GYRB-32	Ecol-RECA-7	Ecol-ICD-26	Ecol-PURA-8	Ecol-FUMC-65	Ecol-ADK-6
Ecol-ST-2098	Ecol-MDH-9	Ecol-GYRB-3	Ecol-RECA-2	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2099	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2100	Ecol-MDH-9	Ecol-GYRB-32	Ecol-RECA-6	Ecol-ICD-26	Ecol-PURA-8	Ecol-FUMC-65	Ecol-ADK-6
Ecol-ST-2101	Ecol-MDH-7	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-16	Ecol-PURA-13	Ecol-FUMC-8	Ecol-ADK-6
Ecol-ST-2102	Ecol-MDH-7	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-8	Ecol-ADK-6
Ecol-ST-2103	Ecol-MDH-11	Ecol-GYRB-4	Ecol-RECA-14	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2104	Ecol-MDH-9	Ecol-GYRB-3	Ecol-RECA-7	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-19	Ecol-ADK-6
Ecol-ST-2105	Ecol-MDH-22	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-19	Ecol-ADK-6
Ecol-ST-2106	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-14	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-65	Ecol-ADK-6
Ecol-ST-2107	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-65	Ecol-ADK-6
Ecol-ST-2108	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2109	Ecol-MDH-7	Ecol-GYRB-4	Ecol-RECA-14	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-8	Ecol-ADK-6
Ecol-ST-2110	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-18	Ecol-PURA-13	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2111	Ecol-MDH-7	Ecol-GYRB-32	Ecol-RECA-6	Ecol-ICD-88	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2112	Ecol-MDH-70	Ecol-GYRB-87	Ecol-RECA-2	Ecol-ICD-96	Ecol-PURA-58	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2113	Ecol-MDH-59	Ecol-GYRB-78	Ecol-RECA-62	Ecol-ICD-29	Ecol-PURA-58	Ecol-FUMC-88	Ecol-ADK-6
Ecol-ST-2114	Ecol-MDH-20	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-37	Ecol-ADK-6
Ecol-ST-2115	Ecol-MDH-8	Ecol-GYRB-1	Ecol-RECA-6	Ecol-ICD-8	Ecol-PURA-5	Ecol-FUMC-7	Ecol-ADK-8
Ecol-ST-2116	Ecol-MDH-11	Ecol-GYRB-64	Ecol-RECA-14	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-23	Ecol-ADK-9
Ecol-ST-2117	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-8	Ecol-PURA-7	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-2118	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-2	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-16
Ecol-ST-2119	Ecol-MDH-7	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-16	Ecol-PURA-13	Ecol-FUMC-4	Ecol-ADK-23
Ecol-ST-2120	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-14	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-23
Ecol-ST-2121	Ecol-MDH-11	Ecol-GYRB-15	Ecol-RECA-2	Ecol-ICD-18	Ecol-PURA-13	Ecol-FUMC-41	Ecol-ADK-43
Ecol-ST-2122	Ecol-MDH-11	Ecol-GYRB-43	Ecol-RECA-7	Ecol-ICD-45	Ecol-PURA-8	Ecol-FUMC-46	Ecol-ADK-48
Ecol-ST-2123	Ecol-MDH-7	Ecol-GYRB-1	Ecol-RECA-14	Ecol-ICD-109	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-57
Ecol-ST-2124	Ecol-MDH-43	Ecol-GYRB-15	Ecol-RECA-6	Ecol-ICD-18	Ecol-PURA-12	Ecol-FUMC-30	Ecol-ADK-63
Ecol-ST-2125	Ecol-MDH-24	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-83	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-64
Ecol-ST-2126	Ecol-MDH-9	Ecol-GYRB-14	Ecol-RECA-7	Ecol-ICD-10	Ecol-PURA-7	Ecol-FUMC-6	Ecol-ADK-66
Ecol-ST-2127	Ecol-MDH-17	Ecol-GYRB-19	Ecol-RECA-26	Ecol-ICD-37	Ecol-PURA-11	Ecol-FUMC-38	Ecol-ADK-73
Ecol-ST-2128	Ecol-MDH-11	Ecol-GYRB-32	Ecol-RECA-44	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-29	Ecol-ADK-85
Ecol-ST-2129	Ecol-MDH-11	Ecol-GYRB-32	Ecol-RECA-44	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-29	Ecol-ADK-92
Ecol-ST-2130	Ecol-MDH-7	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-16	Ecol-PURA-7	Ecol-FUMC-8	Ecol-ADK-179
Ecol-ST-2131	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-35	Ecol-ICD-16	Ecol-PURA-34	Ecol-FUMC-19	Ecol-ADK-214
Ecol-ST-2132	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-2	Ecol-ICD-16	Ecol-PURA-13	Ecol-FUMC-19	Ecol-ADK-214
Ecol-ST-2133	Ecol-MDH-7	Ecol-GYRB-1	Ecol-RECA-6	Ecol-ICD-109	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-57
Ecol-ST-2134	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-16	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-116
Ecol-ST-2135	Ecol-MDH-17	Ecol-GYRB-93	Ecol-RECA-166	Ecol-ICD-13	Ecol-PURA-28	Ecol-FUMC-40	Ecol-ADK-221
Ecol-ST-2136	Ecol-MDH-150	Ecol-GYRB-184	Ecol-RECA-130	Ecol-ICD-18	Ecol-PURA-190	Ecol-FUMC-275	Ecol-ADK-175
Ecol-ST-2137	Ecol-MDH-11	Ecol-GYRB-15	Ecol-RECA-6	Ecol-ICD-88	Ecol-PURA-26	Ecol-FUMC-6	Ecol-ADK-6
Ecol-ST-2138	Ecol-MDH-4	Ecol-GYRB-29	Ecol-RECA-73	Ecol-ICD-25	Ecol-PURA-13	Ecol-FUMC-65	Ecol-ADK-109
Ecol-ST-2139	Ecol-MDH-8	Ecol-GYRB-57	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-7	Ecol-ADK-10
Ecol-ST-2140	Ecol-MDH-8	Ecol-GYRB-19	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-13	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-2141	Ecol-MDH-59	Ecol-GYRB-262	Ecol-RECA-196	Ecol-ICD-281	Ecol-PURA-215	Ecol-FUMC-88	Ecol-ADK-101
Ecol-ST-2142	Ecol-MDH-5	Ecol-GYRB-263	Ecol-RECA-19	Ecol-ICD-25	Ecol-PURA-5	Ecol-FUMC-26	Ecol-ADK-4
Ecol-ST-2143	Ecol-MDH-59	Ecol-GYRB-78	Ecol-RECA-62	Ecol-ICD-282	Ecol-PURA-58	Ecol-FUMC-88	Ecol-ADK-85
Ecol-ST-2144	Ecol-MDH-11	Ecol-GYRB-15	Ecol-RECA-6	Ecol-ICD-56	Ecol-PURA-26	Ecol-FUMC-6	Ecol-ADK-6
Ecol-ST-2145	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-2	Ecol-FUMC-326	Ecol-ADK-6
Ecol-ST-2147	Ecol-MDH-78	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-241	Ecol-ADK-6
Ecol-ST-2148	Ecol-MDH-4	Ecol-GYRB-174	Ecol-RECA-4	Ecol-ICD-6	Ecol-PURA-216	Ecol-FUMC-284	Ecol-ADK-6
Ecol-ST-2152	Ecol-MDH-9	Ecol-GYRB-266	Ecol-RECA-7	Ecol-ICD-26	Ecol-PURA-8	Ecol-FUMC-23	Ecol-ADK-6
Ecol-ST-2154	Ecol-MDH-11	Ecol-GYRB-4	Ecol-RECA-14	Ecol-ICD-16	Ecol-PURA-217	Ecol-FUMC-29	Ecol-ADK-6
Ecol-ST-2155	Ecol-MDH-5	Ecol-GYRB-27	Ecol-RECA-4	Ecol-ICD-212	Ecol-PURA-5	Ecol-FUMC-35	Ecol-ADK-21
Ecol-ST-2156	Ecol-MDH-24	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-2	Ecol-FUMC-329	Ecol-ADK-6
Ecol-ST-2158	Ecol-MDH-24	Ecol-GYRB-6	Ecol-RECA-17	Ecol-ICD-285	Ecol-PURA-2	Ecol-FUMC-331	Ecol-ADK-80
Ecol-ST-2160	Ecol-MDH-9	Ecol-GYRB-32	Ecol-RECA-7	Ecol-ICD-88	Ecol-PURA-13	Ecol-FUMC-23	Ecol-ADK-6
Ecol-ST-2161	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2162	Ecol-MDH-11	Ecol-GYRB-54	Ecol-RECA-47	Ecol-ICD-10	Ecol-PURA-35	Ecol-FUMC-58	Ecol-ADK-31
Ecol-ST-2163	Ecol-MDH-9	Ecol-GYRB-3	Ecol-RECA-7	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-23	Ecol-ADK-6
Ecol-ST-2164	Ecol-MDH-11	Ecol-GYRB-3	Ecol-RECA-14	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-95	Ecol-ADK-6
Ecol-ST-2165	Ecol-MDH-9	Ecol-GYRB-3	Ecol-RECA-7	Ecol-ICD-16	Ecol-PURA-7	Ecol-FUMC-23	Ecol-ADK-6
Ecol-ST-2166	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-44	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-29	Ecol-ADK-6
Ecol-ST-2168	Ecol-MDH-193	Ecol-GYRB-136	Ecol-RECA-2	Ecol-ICD-286	Ecol-PURA-1	Ecol-FUMC-332	Ecol-ADK-83
Ecol-ST-2169	Ecol-MDH-11	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-26	Ecol-PURA-8	Ecol-FUMC-29	Ecol-ADK-6
Ecol-ST-2170	Ecol-MDH-24	Ecol-GYRB-14	Ecol-RECA-14	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-333	Ecol-ADK-6
Ecol-ST-2171	Ecol-MDH-70	Ecol-GYRB-78	Ecol-RECA-2	Ecol-ICD-29	Ecol-PURA-158	Ecol-FUMC-88	Ecol-ADK-260
Ecol-ST-2172	Ecol-MDH-226	Ecol-GYRB-1	Ecol-RECA-6	Ecol-ICD-8	Ecol-PURA-84	Ecol-FUMC-7	Ecol-ADK-8
Ecol-ST-2173	Ecol-MDH-227	Ecol-GYRB-10	Ecol-RECA-26	Ecol-ICD-37	Ecol-PURA-11	Ecol-FUMC-43	Ecol-ADK-170
Ecol-ST-2174	Ecol-MDH-9	Ecol-GYRB-57	Ecol-RECA-6	Ecol-ICD-13	Ecol-PURA-13	Ecol-FUMC-19	Ecol-ADK-6
Ecol-ST-2175	Ecol-MDH-43	Ecol-GYRB-15	Ecol-RECA-14	Ecol-ICD-88	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-2176	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-58	Ecol-ICD-1	Ecol-PURA-13	Ecol-FUMC-65	Ecol-ADK-9
Ecol-ST-2177	Ecol-MDH-5	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-2178	Ecol-MDH-11	Ecol-GYRB-15	Ecol-RECA-6	Ecol-ICD-56	Ecol-PURA-26	Ecol-FUMC-6	Ecol-ADK-9
Ecol-ST-2179	Ecol-MDH-11	Ecol-GYRB-5	Ecol-RECA-6	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-65	Ecol-ADK-9
Ecol-ST-2180	Ecol-MDH-9	Ecol-GYRB-3	Ecol-RECA-6	Ecol-ICD-18	Ecol-PURA-193	Ecol-FUMC-19	Ecol-ADK-6
